x y time dx dy dt dr^2 TotalDisplacementSquared
27
1.03828488372093E-05 1.19791666666667E-05 0 0 0 0 0 0
1.03592877094972E-05 1.19472067039106E-05 0.0330033 -2.3561127712096E-08 -3.19599627560514E-08 0.0330033 1.57656595843389E-15 1.57656595843389E-15
1.03671158256881E-05 1.19475344036697E-05 0.0670067 7.82811619086665E-09 3.27699759109734E-10 0.0340034 6.13867902298292E-17 1.24812771383482E-15
1.03646565711195E-05 1.193442401298E-05 0.10001 -2.45925456854934E-09 -1.31103906897359E-08 0.0330033 1.77930277070443E-16 2.33286360440727E-15
1.03765511892451E-05 1.19367244053775E-05 0.1330133 1.18946181255648E-08 2.30039239746738E-09 0.0330033 1.4677374553534E-16 1.84100591322275E-15
1.03728304405874E-05 1.19657877169559E-05 0.1670167 -3.7207486576385E-09 2.90633115784846E-08 0.0340034 8.58520050481397E-16 2.79364566234864E-16
1.03721965699208E-05 1.1625E-05 0.20002 -6.33870666606029E-10 -3.40787716955941E-07 0.0330033 1.16136669820064E-13 1.25547498576162E-13
1.03332468879668E-05 1.19760114107884E-05 0.2330233 -3.89496819540387E-08 3.51011410788383E-07 0.0330033 1.24726088227971E-13 2.4703090083127E-15
1.04235412474849E-05 1.19758551307847E-05 0.2670267 9.02943595181043E-08 -1.5628000367407E-10 0.0340034 8.15309578422422E-15 1.66683852393584E-15
1.04349033816425E-05 1.19772946859903E-05 0.30003 1.13621341576025E-08 1.43955520563033E-09 0.0330033 1.31170411805414E-16 2.71317990780154E-15
1.04811354019746E-05 1.1949841325811E-05 0.3330333 4.62320203321003E-08 -2.74533601793383E-08 0.0330033 2.89108668912421E-15 1.05202244296664E-14
1.04268191841235E-05 1.19460446527012E-05 0.3670367 -5.43162178511274E-08 -3.79667310978782E-09 0.0340034 2.96466624835372E-15 3.03045921688125E-15
1.04528037383178E-05 1.19396417445483E-05 0.40004 2.5984554194272E-08 -6.40290815292666E-09 0.0330033 7.16194289489875E-16 6.45590765755767E-15
1.04667019889142E-05 1.20399005542876E-05 0.4330433 1.38982505964922E-08 1.00258809739291E-07 0.0330033 1.02449902999822E-14 1.07199561564023E-14
1.06740038560411E-05 1.18303341902314E-05 0.4660466 2.07301867126882E-07 -2.09566364056215E-07 0.0330033 8.68921250580333E-14 1.06922351032828E-13
1.06808493842753E-05 1.18240843069151E-05 0.50005 6.84552823420859E-09 -6.2498833163005E-09 0.0340034 8.59222982727182E-17 1.12854864357783E-13
1.06222035794183E-05 1.19623182326622E-05 0.5330533 -5.86458048569938E-08 1.3823392574713E-07 0.0330033 2.25479486547877E-14 5.75745623463607E-14
1.06349852071006E-05 1.19630917159763E-05 0.5660566 1.27816276822461E-08 7.73483314139511E-10 0.0330033000000001 1.63968282644812E-16 6.38311530616538E-14
