x y time dx dy dt dr^2 TotalDisplacementSquared
81
2.7403963998468E-05 1.90101302183072E-05 0 0 0 0 0 0
2.75120895662809E-05 1.89563105654342E-05 0.0840084 1.08125567812912E-07 -5.38196528729706E-08 0.0840084 1.45876934502318E-14 1.45876934502318E-14
2.73695113314448E-05 1.90410764872521E-05 0.1670167 -1.42578234836172E-07 8.47659218179331E-08 0.0830083 2.75138145506426E-14 2.14465782662955E-15
2.74850709499409E-05 1.8953476054395E-05 0.2510251 1.15559618496118E-07 -8.76004328571689E-08 0.0840084 2.10278612637316E-14 9.78803186581169E-15
2.74488915518274E-05 1.88587177950869E-05 0.3350335 -3.61793981134362E-08 -9.4758259308076E-08 0.0840084 1.02880765549471E-14 2.49442069563016E-14
2.74507170713297E-05 1.88285318908039E-05 0.4190419 1.82551950228671E-09 -3.01859042830053E-08 0.0840084 9.14521338835985E-16 3.51638023740036E-14
2.75200978248989E-05 1.88638512405727E-05 0.5020502 6.93807535691704E-08 3.53193497688657E-08 0.0830083 6.06114543392143E-15 3.4884604968505E-14
2.7319774318698E-05 1.89596659727479E-05 0.5860586 -2.00323506200942E-07 9.58147321751781E-08 0.0840084 4.93099700384398E-14 9.63454225964938E-15
2.72852460066627E-05 1.8996455112326E-05 0.670067 -3.4528312035274E-08 3.67891395780404E-08 0.0840084 2.54564512289778E-15 1.42809701018891E-14
2.73096300237374E-05 1.90737394614062E-05 0.7540754 2.4384017074734E-08 7.72843490802799E-08 0.0840084 6.56745090146349E-15 1.29450345961114E-14
2.73620119647355E-05 1.91030580919395E-05 0.8380838 5.23819409980994E-08 2.93186305333109E-08 0.0840084 3.60344983907716E-15 1.039556283213E-14
2.74105452314165E-05 1.9062368513324E-05 0.9220922 4.85332666810336E-08 -4.06895786155665E-08 0.0840084 4.0111197826447E-15 2.77215209338722E-15
2.73926588862663E-05 1.90797709589999E-05 1.0051005 -1.78863451502664E-08 1.74024456759305E-08 0.0830083 6.22766458338173E-16 4.97763832612886E-15
2.7286241573857E-05 1.90955268171161E-05 1.0891089 -1.06417312409306E-07 1.57558581161474E-08 0.0840084000000001 1.1572891445396E-14 2.11511483444305E-14
2.72913694267516E-05 1.91433200636943E-05 1.1731173 5.12785289461704E-09 4.77932465782089E-08 0.0840083999999999 2.31048929379431E-15 3.04170724942468E-14
2.7392746266152E-05 1.908468283269E-05 1.2571257 1.01376839400444E-07 -5.86372310042194E-08 0.0840084000000001 1.37155884266657E-14 5.68392982963664E-15
2.73895263249047E-05 1.90835859023208E-05 1.340134 -3.2199412472913E-09 -1.09693036930025E-09 0.0830082999999999 1.15712778711011E-17 5.60418393182369E-15
