x y time dx dy dt dr^2 TotalDisplacementSquared
14
4.93316259216143E-07 1.46972603802872E-06 0 0 0 0 0 0
4.84242074927954E-07 1.34551585014409E-06 0.0330033 -9.07418428818891E-09 -1.24210187884623E-07 0.0330033 1.55105115948295E-14 1.55105115948295E-14
4.63334763948498E-07 1.27266180257511E-06 0.0660066 -2.09073109794561E-08 -7.28540475689849E-08 0.0330033 5.7448278995756E-15 3.9733202953399E-14
4.97728528123947E-07 1.20757022566521E-06 0.10001 3.43937641754496E-08 -6.50915769099001E-08 0.0340034 5.41984439877388E-15 6.87451380728858E-14
4.02922811853894E-07 1.19699172984149E-06 0.1330133 -9.48057162700536E-08 -1.05784958237185E-08 0.0330033 9.10002841137033E-15 8.25549781883969E-14
4.80376902417189E-07 1.26129811996419E-06 0.1660166 7.7454090563295E-08 6.43063901227012E-08 0.0330033 1.01344479556001E-14 4.36096239830833E-14
5.0722586967173E-07 1.26605879470848E-06 0.1990199 2.68489672545407E-08 4.76067474428637E-09 0.0330033 7.43531066656285E-16 4.16738232646917E-14
4.68702349869452E-07 1.31722323759791E-06 0.2330233 -3.85235198022778E-08 5.11644428894351E-08 0.0340034 4.10186179414276E-15 2.38629486725648E-14
5.49148936170213E-07 1.73933706606943E-06 0.2660266 8.04465863007611E-08 4.22113828471518E-07 0.0330033 1.84651737434328E-13 7.58073942570279E-14
6.92222222222222E-07 1.6942962962963E-06 0.2990299 1.43073286052009E-07 -4.50407697731326E-08 0.0330033 2.24986361234764E-14 8.99953830177438E-14
5.74418521816563E-07 1.69916295636687E-06 0.3330333 -1.17803700405659E-07 4.86666007057807E-09 0.0340034 1.39013962095089E-14 5.92188764954185E-14
6.27774415405777E-07 1.68940852819807E-06 0.3660366 5.33558935892144E-08 -9.75442816880006E-09 0.0330033 2.94200024960385E-15 6.63393922529266E-14
5.87638985579314E-07 1.58783789159622E-06 0.3990399 -4.01354298264634E-08 -1.01570636601854E-07 0.0330033 1.19274469470608E-14 2.28471866617335E-14
6.8104347826087E-07 1.28469565217391E-06 0.4330433 9.34044926815558E-08 -3.03142239422308E-07 0.0340034 1.00619616575071E-13 6.94777524598439E-14
19
2.90521428571429E-06 4.55171428571429E-06 0 0 0 0 0 0
2.96431457800512E-06 4.55174680306905E-06 0.0330033 5.91002922908293E-08 3.25173547677053E-11 0.0330033 3.49284560623982E-15 3.49284560623982E-15
2.97123076923077E-06 4.55041025641026E-06 0.0670067 6.9161912256541E-09 -1.336546658797E-09 0.0340034 4.96200580409562E-17 4.3598765883079E-15
2.80528E-06 4.49272E-06 0.10001 -1.65950769230769E-07 -5.7690256410257E-08 0.0330033 3.08678234929653E-14 1.34671872081634E-14
2.89482116244411E-06 4.51777794336811E-06 0.1330133 8.95411624441132E-08 2.50579433681077E-08 0.0330033 8.64552029768236E-15 1.25969234314604E-15
2.55281138790036E-06 4.5429590747331E-06 0.1660166 -3.42009774543757E-07 2.51811313649888E-08 0.0330033 1.17604775260292E-13 1.2426445610698E-13
2.69657381150959E-06 4.53714428690576E-06 0.2330233 1.43762423609235E-07 -5.81478782734121E-09 0.0670067 2.07014461994783E-14 4.37431323416404E-14
2.72156494845361E-06 4.5577175257732E-06 0.2660266 2.49911369440169E-08 2.05732388674408E-08 0.0330033 1.04781508325138E-15 3.3763117967491E-14
2.78624173913044E-06 4.37307304347826E-06 0.3660366 6.46767906768264E-08 -1.84644482294935E-07 0.10001 3.82766720942185E-14 4.60671602682768E-14
2.78567466449776E-06 4.35966083773892E-06 0.40004 -5.67074632671428E-10 -1.34122057393424E-08 0.0340034 1.80208836433469E-16 5.11742479198169E-14
2.62879927667269E-06 4.52532007233273E-06 0.4330433 -1.56875387825069E-07 1.65659234593812E-07 0.0330033 5.20528693114735E-14 7.71019117234942E-14
2.75057121551081E-06 4.51358090976883E-06 0.4660466 1.21771938838118E-07 -1.17391625639013E-08 0.0330033 1.49662130260962E-14 2.53686335229538E-14
2.67017164898746E-06 4.74017261330762E-06 0.50005 -8.03995665233491E-08 2.26591703538789E-07 0.0340034 5.78078904097528E-14 9.07615823187727E-14
2.58114424635332E-06 4.89802917341977E-06 0.5330533 -8.90274026341411E-08 1.57856560112155E-07 0.0330033 3.28445719902239E-14 2.24955391857881E-13
2.52278918918919E-06 4.95657837837838E-06 0.5660566 -5.83550571641334E-08 5.85492049586051E-08 0.0330033000000001 6.83332209791403E-15 3.10163887980948E-13
2.492E-06 4.895E-06 0.5990599 -3.07891891891892E-08 -6.15783783783784E-08 0.0330033 4.73987085463842E-15 2.8859112755102E-13
2.62453591790194E-06 4.90636602052452E-06 0.6330633 1.32535917901938E-07 1.13660205245156E-08 0.0340034 1.7694955956673E-14 2.04558199161709E-13
2.66535714285714E-06 4.71457142857143E-06 0.6660666 4.08212249552047E-08 -1.91794591953087E-07 0.0330033 3.84515379092946E-14 8.40538979591837E-14
2.6166E-06 4.45E-06 0.6990699 -4.87571428571431E-08 -2.64571428571429E-07 0.0330033000000001 7.23752997959184E-14 9.3644001836735E-14
25
2.52436363636364E-06 1.27189090909091E-05 0 0 0 0 0 0
2.71239087185489E-06 1.2717678174371E-05 0.0330033 1.8802723549125E-07 -1.23091653811338E-09 0.0330033 3.53557564420056E-14 3.53557564420056E-14
2.83270988654781E-06 1.27115656401945E-05 0.0660066 1.20319014692926E-07 -6.1125341764872E-09 0.0330033 1.45140283707353E-14 9.51313362710401E-14
2.95813147718484E-06 1.28095986078886E-05 0.10001 1.25421590637029E-07 9.80329676941417E-08 0.0340034 2.53410381528431E-14 1.96379128220673E-13
3.00480952380952E-06 1.25525131578947E-05 0.1330133 4.66780466246824E-08 -2.57085449993896E-07 0.0330033 6.82717686352598E-14 2.58515857287384E-13
3.12375606469003E-06 1.25824649595687E-05 0.1660166 1.18946540880504E-07 2.99518016739978E-08 0.0330033 1.50453900109558E-14 3.77888284112232E-13
3.12895598349381E-06 1.27316519944979E-05 0.1990199 5.19991880378301E-09 1.49187034929203E-07 0.0330033 2.22838105465333E-14 3.65694287800247E-13
3.21330398899587E-06 1.27316519944979E-05 0.2330233 8.43480055020633E-08 0 0.0340034 7.11458603217609E-15 4.74801191076906E-13
3.2365879541109E-06 1.26357026768642E-05 0.2660266 2.3283965115025E-08 -9.59493176336918E-08 0.0330033 9.74841458584877E-15 5.14186786128755E-13
3.204E-06 1.25498811881188E-05 0.2990299 -3.25879541108984E-08 -8.58214887454348E-08 0.0330033 8.42730268361681E-15 4.9047601869854E-13
3.16145291861951E-06 1.25413020877716E-05 0.3330333 -4.2547081380486E-08 -8.57910034718671E-09 0.0340034 1.8838550967648E-15 4.37427001128781E-13
3.09223255813954E-06 1.25717674418605E-05 0.3660366 -6.9220360479979E-08 3.04653540888409E-08 0.0330033 5.71959610473669E-15 3.44125777203671E-13
2.91151922359089E-06 1.25298312803285E-05 0.3990399 -1.80713334548643E-07 -4.19361615319843E-08 0.0330033 3.44159509277264E-14 1.85639867175238E-13
2.848E-06 1.27307588555858E-05 0.4330433 -6.35192235908922E-08 2.0092757525735E-07 0.0340034 4.44065822643879E-14 1.04880912790663E-13
2.8124E-06 1.27092E-05 0.4660466 -3.55999999999999E-08 -2.155885558583E-08 0.0330033 1.73214425417066E-15 8.30592132231406E-14
2.79978018575851E-06 1.29304187306502E-05 0.4990499 -1.2619814241486E-08 2.21218730650154E-07 0.0330033 4.9096986501955E-14 1.20590603383976E-13
2.50816205211726E-06 1.28853591205212E-05 0.5660566 -2.9161813364125E-07 -4.50596101289832E-08 0.0670067 8.70715043333821E-14 2.7968103689955E-14
2.61911870845204E-06 1.30938186134853E-05 0.5990599 1.10956656334778E-07 2.08459492964109E-07 0.0330033 5.57667397918472E-14 1.49535673804785E-13
2.50663403710813E-06 1.29213422904671E-05 0.6320632 -1.12484671343916E-07 -1.7247632301823E-07 0.0330033 4.24008832892377E-14 4.12935389730338E-14
2.49608971553611E-06 1.29153216630197E-05 0.6660666 -1.05443215720203E-08 -6.02062744735724E-09 0.0340034 1.47430672274044E-16 3.93773130820642E-14
2.44214661654135E-06 1.31007330827068E-05 0.6990699 -5.39430989947515E-08 1.85411419687074E-07 0.0330033000000001 3.72872524795337E-14 1.5254919906077E-13
2.41825201612903E-06 1.29227641129032E-05 0.7320732 -2.38946004123212E-08 -1.77968969803542E-07 0.0330033 3.22439061417986E-14 5.28165459410418E-14
2.35074592274678E-06 1.28697055793991E-05 0.7660766 -6.75060933822511E-08 -5.30585335040827E-08 0.0340034 7.37228062133708E-15 5.28826914224746E-14
2.37969700364044E-06 1.29325399047886E-05 0.7990799 2.89510808936556E-08 6.28343253894315E-08 0.0330033 4.78631753205595E-15 6.65665592622794E-14
2.46127191413238E-06 1.3110862254025E-05 0.8320832 8.15749104919425E-08 1.78322349236472E-07 0.0330033 3.84533262589827E-14 1.57607847490708E-13
30
4.39290627279358E-06 4.2155878920496E-06 0 0 0 0 0 0
4.31238572485207E-06 4.19712019230769E-06 0.0330033 -8.05205479415107E-08 -1.84676997419066E-08 0.0330033 6.82461457455834E-15 6.82461457455834E-15
4.23663261063261E-06 4.14853133353133E-06 0.0660066 -7.57531142194602E-08 -4.85888587763587E-08 0.0330033 8.09941151113552E-15 2.89180395255148E-14
4.11675962748553E-06 4.20103297256481E-06 0.10001 -1.19872983147083E-07 5.25016390334786E-08 0.0340034 1.71259541897826E-14 7.64688153961009E-14
4.07457788578372E-06 4.34707144592953E-06 0.1330133 -4.21817417018094E-08 1.46038473364714E-07 0.0330033 2.31065350356943E-14 1.18620886917197E-13
4.14956536082474E-06 4.33275855670103E-06 0.1660166 7.49874750410246E-08 -1.4312889228495E-08 0.0330033 5.82798021109546E-15 7.29437640926845E-14
4.07746969006381E-06 4.3511629443938E-06 0.1990199 -7.2095670760932E-08 1.84043876927702E-08 0.0330033 5.53650722881449E-15 1.17880832542369E-13
