x y time dx dy dt dr^2 TotalDisplacementSquared
76
3.23650255591054E-05 2.06061549520767E-05 0 0 0 0 0 0
3.23793947764942E-05 2.06243564791562E-05 0.1640164 1.43692173887935E-08 1.82015270795251E-08 0.1640164 5.3776999639309E-16 5.3776999639309E-16
3.24301847213525E-05 2.05778631809643E-05 0.3280328 5.07899448583139E-08 -4.64932981918945E-08 0.1640164 4.74124527547099E-15 5.04614073741956E-15
3.24517880364109E-05 2.06069679237104E-05 0.4910491 2.16033150583826E-08 2.91047427461365E-08 0.1630163 1.31378927183052E-15 7.52838839106297E-15
3.25128607902357E-05 2.06131768222437E-05 0.6550655 6.10727538247815E-08 6.20889853322524E-09 0.1640164 3.76843168073825E-15 2.19045622239829E-14
3.25246595996021E-05 2.0584369559811E-05 0.8190819 1.17988093663875E-08 -2.88072624326773E-08 0.1640164 9.69070271329495E-16 2.59576302014587E-14
3.25663860144246E-05 2.05165192850423E-05 0.9830983 4.17264148224923E-08 -6.785027476866E-08 0.1640164 6.34475348012137E-15 4.85805857710279E-14
3.25401855047455E-05 2.05605910267472E-05 1.1471147 -2.620050967911E-08 4.40717417048631E-08 0.1640164 2.62878512434531E-15 3.27570778480528E-14
3.25388797589701E-05 2.0598883106607E-05 1.310131 -1.30574577532769E-09 3.82920798598214E-08 0.1630163 1.46798835202072E-15 3.02781625471344E-14
3.24524124084235E-05 2.06178355761273E-05 1.4741474 -8.6467350546642E-08 1.89524695202554E-08 0.1640164 7.83579881147209E-15 7.77289841195068E-15
3.2449166970692E-05 2.06313252462605E-05 1.6381638 -3.24543773154247E-09 1.34896701332163E-08 0.1640164 1.92504066372308E-16 7.71332085307329E-15
3.24582565991406E-05 2.0630953038674E-05 1.8021802 9.08962844861705E-09 -3.72207586455886E-10 0.1640164 8.27598838213237E-17 9.30697192492495E-15
3.24362944162437E-05 2.05841772935496E-05 1.9661966 -2.19621828969203E-08 -4.67757451244488E-08 0.1640164 2.67030780954517E-15 5.56226747212238E-15
3.25145573791069E-05 2.06683857909436E-05 2.1292129 7.82629628632577E-08 8.42084973940238E-08 0.1630163 1.3216162389495E-14 2.62324424990379E-14
3.24519690360632E-05 2.06281532223383E-05 2.2932293 -6.25883430437597E-08 -4.02325686053402E-08 0.1640164 5.53596026154674E-15 8.04309208000023E-15
3.24214323933023E-05 2.06281442779806E-05 2.4572457 -3.0536642760876E-08 -8.94435765559365E-12 0.1640164 9.32486631106896E-16 3.66526139782014E-15
3.24355285480737E-05 2.06667556062803E-05 2.6212621 1.40961547713808E-08 3.86113282996536E-08 0.1640164 1.68953625240235E-15 8.64311074335704E-15
3.24822994720035E-05 2.07095450377818E-05 2.7852785 4.6770923929882E-08 4.2789431501517E-08 0.1640164 4.01845477347782E-15 2.44426804685426E-14
3.24816178300361E-05 2.06877783999005E-05 2.9482948 -6.81641967459257E-10 -2.17666378813227E-08 0.1630163 4.74251160428436E-16 2.02561448754082E-14
3.25239403114187E-05 2.07323529411765E-05 3.1123112 4.23224813826046E-08 4.45745412760093E-08 0.1640164 3.77808216034757E-15 4.11798309556147E-14
3.25406322002336E-05 2.0735967237951E-05 3.2763276 1.66918888148771E-08 3.61429677448122E-09 0.1640164 2.91682293382246E-16 4.76889219722089E-14
3.25226425438596E-05 2.07739254385965E-05 3.440344 -1.79896563739149E-08 3.79582006455394E-08 0.1640164 1.76445273269856E-15 5.2990050030106E-14
3.24759602305849E-05 2.08639128181877E-05 3.6043604 -4.66823132747692E-08 8.99873795912168E-08 0.1640164 1.02769668583774E-14 7.87456188783645E-14
3.23913798309179E-05 2.09185235507246E-05 3.7673767 -8.45803996670071E-08 5.46107325369309E-08 0.1630163 1.01361761160509E-14 9.82686890640544E-14
