x y time dx dy dt dr^2 TotalDisplacementSquared
12
1.5486E-05 1.11248726752504E-05 0 0 0 0 0 0
1.5486E-05 1.11256631892697E-05 0.0330033 0 7.90514019389164E-10 0.0330033 6.24912414850812E-19 6.24912414850812E-19
1.513E-05 1.1122880952381E-05 0.0670067 -3.56E-07 -2.78223688879376E-09 0.0340034 1.26743740842105E-13 1.26739966959989E-13
1.513E-05 1.11292626995646E-05 0.1330133 0 6.38174718363329E-09 0.0660066 4.07266971158115E-17 1.2675527231348E-13
1.5486E-05 1.11274316939891E-05 0.2330233 3.56E-07 -1.83100557551478E-09 0.10001 1.26739352581418E-13 6.54857690508897E-18
1.5486E-05 1.11329717791411E-05 0.2660266 0 5.54008515203267E-09 0.0330033 3.06925434917729E-17 6.55954838331066E-17
1.5486E-05 1.11232262602579E-05 0.30003 0 -9.74551888319114E-09 0.0340034 9.49751383026351E-17 2.71068232734618E-18
1.5486E-05 1.11208075370121E-05 0.3330333 0 -2.41872324579974E-09 0.0330033 5.85022213977203E-18 1.65253488960359E-17
1.5486E-05 1.11274929971989E-05 0.3660366 0 6.685460186767E-09 0.0330033 4.46953779088467E-17 6.86608711390988E-18
1.5486E-05 1.11142801120448E-05 0.4330433 0 -1.32128851540619E-08 0.0670067 1.74580334094429E-16 1.12202395263342E-16
1.5842E-05 1.11120027816412E-05 0.4660466 3.56E-07 -2.27733040365013E-09 0.0330033 1.26741186233767E-13 1.26901634161512E-13
1.6198E-05 1.11166132208158E-05 0.50005 3.56E-07 4.61043917458424E-09 0.0340034 1.26757256149383E-13 5.07012218587557E-13
62
1.66827509881423E-05 1.24557786561265E-06 0 0 0 0 0 0
1.66763440603894E-05 1.24522208978943E-06 0.0330033 -6.40692775293871E-09 -3.55775823216353E-10 0.0330033 4.11752996677616E-17 4.11752996677616E-17
1.67032271640363E-05 1.15840459110473E-06 0.0670067 2.68831036469935E-08 -8.68174986846972E-08 0.0340034 8.2599793395624E-15 8.01845356767633E-15
1.6684120768527E-05 1.29917200365965E-06 0.10001 -1.91063955093579E-08 1.40767412554918E-07 0.0330033 2.01805187867665E-14 2.87420793130365E-15
1.66598764150943E-05 1.29671320754717E-06 0.1330133 -2.42443534326499E-08 -2.45879611248261E-09 0.0330033 5.93834351690002E-16 3.13806928688658E-15
1.67008915071183E-05 1.15914089347079E-06 0.1670167 4.1015092023972E-08 -1.37572314076379E-07 0.0340034 2.06083793740649E-14 7.80042858177161E-15
1.6554E-05 1.35440491803279E-06 0.20002 -1.46891507118311E-07 1.95264024561997E-07 0.0330033 5.97051541516369E-14 2.84201442860723E-14
1.6554E-05 1.34771428571429E-06 0.2330233 0 -6.69063231850121E-09 0.0330033 4.47645608213729E-17 2.70086652587949E-14
1.65367825454545E-05 1.29700509090909E-06 0.2660266 -1.72174545454556E-08 -5.07091948051947E-08 0.0330033 2.86786317881601E-15 2.39515457623774E-14
1.65888198051948E-05 1.21587581168831E-06 0.30003 5.20372597402609E-08 -8.11292792207793E-08 0.0340034 9.28983634815855E-15 9.70527913723846E-15
1.67085286396181E-05 1.22189140811456E-06 0.3330333 1.19708834423332E-07 6.01559642624675E-09 0.0330033 1.43663924393563E-14 1.22553558441896E-15
1.67029906450025E-05 1.13259182668636E-06 0.3660366 -5.53799461567587E-09 -8.9299581428197E-08 0.0330033 8.00508462761445E-15 1.31754887020698E-14
1.670291856348E-05 1.14056853818918E-06 0.40004 -7.20815224426303E-11 7.97671150281417E-09 0.0340034 6.36331221450056E-17 1.1433689940933E-14
1.66571371841155E-05 1.29066064981949E-06 0.4330433 -4.57813793644955E-08 1.50092111630319E-07 0.0330033 2.4623576670164E-14 2.68852438856279E-15
1.67265375661376E-05 1.17658941798942E-06 0.4660466 6.94003820220436E-08 -1.14071231830077E-07 0.0330033 1.78286589560367E-14 6.67667031799947E-15
1.65526057441253E-05 1.26273107049608E-06 0.50005 -1.73931822012241E-07 8.61416525066656E-08 0.0340034 3.7672663005077E-14 1.72320169780088E-14
1.65521522491349E-05 1.10341522491349E-06 0.5330533 -4.53494990378829E-10 -1.59315845582589E-07 0.0330033 2.53817443114016E-14 3.72662470408652E-14
